source_table,source_column,target_table,target_column,affected_views,view_count
BSEG,MWSTS,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,QSSHB,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,TXBFW,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,TXBHW,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,WMWST,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,XAUTO,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,XREF1,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,XREF2,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,XREF3,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,XUMSW,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE;CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,5
BSEG,AUFPL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,AUGCP,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,LANDL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,MWART,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,STCEG,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,TXGRP,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSEG,VBELN,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,3
BSAD,VBELN,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
BSEG,ZLSCH,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE,2
BSEG,ZLSPR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE,2
BSEG,ZTERM,,,CV_FSA_TRANSIT_DTL_BSEG_UNION;CV_FSA_TRANSIT_DTL_COEP_BASE,2
BSID,VBELN,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,AWKEY,ACDOCA,AWORG,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,AWKEY,ACDOCA,AWREF,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BEKNZ,ACDOCA,CO_BEKNZ,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BEKNZ,ACDOCA,CO_BELKZ,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BUZEI,ACDOCA,CO_BUZEI1,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BUZEI,ACDOCA,CO_BUZEI2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BUZEI,ACDOCA,CO_BUZEI5,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BUZEI,ACDOCA,CO_BUZEI6,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BUZEI,ACDOCA,CO_BUZEI7,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,BW_REFBZ,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,MEFBTR,ACDOCA,CO_MEFBTR,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,MEFBTR,ACDOCA,VMFSL,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,OBJNR_HK,ACDOCA,AUFNR_ORG,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,OBJNR_HK,ACDOCA,OBJNR_HK,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,OWAER,ACDOCA,RCO_OCUR,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,OWAER,ACDOCA,RHCUR,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAFBTR,ACDOCA,PFSL2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAFBTR,ACDOCA,PFSL3,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAGBTR,ACDOCA,PSL2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAGBTR,ACDOCA,PSL3,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAOBJNR,ACDOCA,PAOBJNR,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,PAOBJNR,ACDOCA,XPAOBJNR_CO_REL,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,AWITEM,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ1,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ5,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ6,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ,ACDOCA,CO_REFBZ7,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,REFBZ_FI,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,VBELN,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,VERSN,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WKFBTR,ACDOCA,KFSL2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WKFBTR,ACDOCA,KFSL3,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WOGBTR,ACDOCA,CO_OSL,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WOGBTR,ACDOCA,HSL,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WRTTP,,,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WTGBTR,ACDOCA,WSL2,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,WTGBTR,ACDOCA,WSL3,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,ZLENR,ACDOCA,AWITGRP,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
COEP,ZLENR,ACDOCA,CO_ZLENR,CV_FSA_TRANSIT_DTL_COEP_BASE;CV_FSA_TRANSIT_DTL_COEP_BASE_REV,2
FAGL_TLDGRP_MAP,LDGRP,,,CV_FSA_TRANSIT_DTL_BSEG_BF_BASE;CV_FSA_TRANSIT_DTL_BSEG_RE_BASE,2
BSAD,BUKRS,,,CV_FSA_TRANSIT_DTL_COEP_BASE,1
BSEG,APLZL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG,SAKNR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,APLZL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,AUFNR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,AUFPL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,AUGCP,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,DMBTR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,FKBER,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,HKONT,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,KOSTL,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,MEINS,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,NPLNR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,PRCTR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,VBEL2,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,VBELN,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,VBUND,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,WRBTR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,XAUTO,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,XREF1,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,XREF2,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,XREF3,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSEG_ADD,ZUONR,,,CV_FSA_TRANSIT_DTL_BSEG_UNION,1
BSID,BUKRS,,,CV_FSA_TRANSIT_DTL_COEP_BASE,1
